StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,0,0,2,9.99,21,0,2,0,1,0,1,2.85,2
1002,18,0,1,2,14.93,1,0,4,1,0,1,0,3.63,0
1003,15,0,3,1,11.25,3,1,3,0,1,0,0,2.59,2
1004,17,0,0,3,1.67,12,0,3,0,1,1,1,2.66,2
1005,17,1,3,2,3.71,12,0,2,1,0,0,1,2.5,2
1006,18,0,0,4,4.39,22,1,3,0,1,1,1,2.33,3
1007,15,0,2,0,5.16,26,1,3,0,1,1,1,1.92,4
1008,15,0,2,3,11.31,21,0,4,1,0,0,0,3.54,0
1009,17,1,0,3,10.08,24,0,2,1,0,0,0,2.76,2
1010,16,0,1,3,4.06,26,0,2,1,1,1,0,2.07,3
1011,17,0,0,4,1.35,22,1,3,1,0,0,1,2.32,3
1012,17,1,2,3,3.43,16,1,3,1,0,0,1,2.88,2
1013,17,1,1,4,19.69,5,0,1,1,0,1,0,3.69,0
1014,17,0,1,2,9.37,10,1,2,1,1,1,1,2.63,2
1015,18,0,0,2,17.35,18,0,4,1,0,0,1,3.36,1
1016,15,0,0,0,16.98,15,0,2,0,1,0,1,3.6,0
1017,18,0,0,0,10.23,7,0,2,0,1,1,1,3.14,1
1018,18,0,0,1,14.13,28,0,2,1,0,1,0,2.23,3
1019,18,1,1,1,3.86,0,1,2,0,0,1,0,2.92,2
1020,17,1,3,1,13.77,9,0,3,0,1,0,1,2.87,2
1021,16,0,2,1,5.45,1,0,2,1,1,1,0,2.66,2
1022,15,0,1,0,16.64,18,0,2,1,1,0,0,2.81,2
1023,16,1,3,4,1.67,13,0,1,0,1,0,0,2.37,3
1024,18,0,2,0,15.46,2,0,4,1,0,0,1,2.73,2
1025,18,0,3,3,2.0,22,0,4,0,1,1,0,2.91,2
1026,16,0,1,1,17.62,28,0,3,1,0,1,0,3.27,1
1027,16,0,0,4,6.08,23,0,3,1,1,1,0,3.28,1
1028,16,0,0,4,13.09,30,1,2,0,1,1,0,2.37,3
1029,18,1,2,3,9.75,8,1,4,1,1,0,1,3.79,0
1030,18,0,0,3,7.33,22,0,3,1,1,0,1,3.56,0
1031,15,0,0,0,12.91,7,0,3,0,1,0,1,2.46,3
1032,15,0,1,4,18.95,10,1,2,0,0,0,0,2.86,2
1033,18,1,1,4,0.83,14,0,2,0,0,1,1,2.06,3
1034,16,1,1,4,18.38,5,0,3,1,0,0,1,2.8,2
1035,16,1,0,3,12.18,1,0,2,0,0,1,0,3.83,0
1036,15,1,0,2,16.15,0,1,2,0,0,0,0,2.85,2
1037,18,0,1,4,7.68,2,0,3,1,1,1,1,3.54,0
1038,15,1,3,1,9.44,24,0,2,0,1,0,1,1.81,4
1039,15,0,2,2,17.38,28,0,3,0,1,0,0,2.14,3
1040,17,0,3,1,8.3,22,1,1,1,1,0,0,2.27,3
1041,17,1,2,4,10.69,17,0,3,0,1,0,0,3.22,1
1042,17,1,1,1,0.4,13,0,1,1,0,0,1,2.37,3
1043,16,1,0,1,3.17,16,0,4,1,1,0,1,2.7,2
1044,18,1,2,2,12.83,1,0,2,1,0,0,0,2.69,2
1045,18,1,1,3,14.34,30,0,3,1,0,0,0,2.49,3
1046,18,0,1,3,11.65,18,0,2,1,0,1,1,2.29,3
1047,18,1,1,1,2.87,29,0,1,1,0,1,0,2.61,2
1048,17,1,1,0,8.91,21,1,3,0,0,0,0,2.92,2
1049,16,1,0,3,7.1,27,0,4,0,0,1,0,2.55,2
1050,16,0,1,4,9.91,8,1,1,1,1,1,1,2.97,2
1051,17,1,0,3,17.41,7,0,2,0,1,1,0,3.3,1
1052,16,0,2,2,15.52,9,1,2,1,1,0,1,3.69,0
1053,17,1,0,4,1.68,8,1,2,1,1,0,0,2.64,2
1054,18,1,0,2,17.81,26,0,4,0,0,1,1,3.3,1
1055,17,0,1,2,9.44,26,1,2,1,1,0,0,2.43,3
1056,18,1,2,2,14.88,7,0,3,1,0,0,1,3.01,1
1057,18,0,1,2,2.8,6,1,2,0,0,0,0,2.77,2
1058,15,0,0,3,13.41,21,0,2,1,0,0,0,3.37,1
1059,17,0,1,2,4.73,23,0,1,0,1,1,0,2.22,3
1060,15,1,0,2,8.77,5,0,2,1,1,1,1,1.96,4
1061,17,1,3,1,0.34,1,0,2,1,0,0,1,2.26,3
1062,17,1,3,0,3.03,28,1,0,1,0,0,0,3.26,1
1063,15,0,1,2,1.84,8,0,3,0,1,0,1,1.96,4
1064,15,1,0,1,4.79,8,0,2,0,1,0,1,1.8,4
1065,17,0,2,1,2.0,18,1,1,1,0,0,0,2.95,2
1066,16,1,0,3,13.84,8,1,1,1,0,1,0,3.48,1
1067,18,0,1,3,0.58,1,1,1,1,0,0,0,2.71,2
1068,15,0,0,3,12.35,27,1,2,1,0,0,1,3.12,1
1069,18,0,3,2,2.81,29,0,2,1,1,0,0,2.17,3
1070,16,1,0,4,18.9,18,0,4,0,1,0,0,2.71,2
1071,16,0,1,4,18.66,15,0,4,1,1,0,0,4.0,0
1072,16,0,2,3,4.51,29,1,3,1,0,0,1,2.37,3
1073,15,0,1,3,12.29,21,0,2,0,1,0,0,2.11,3
1074,16,0,0,2,0.56,13,0,2,1,0,1,0,1.75,4
1075,15,0,3,4,18.64,19,0,4,1,0,0,1,3.85,0
1076,16,0,1,1,10.46,23,0,3,0,0,0,1,2.76,2
1077,18,1,1,1,0.86,0,0,2,0,1,1,1,3.22,1
1078,18,1,0,2,6.85,12,0,2,1,1,1,1,3.75,0
1079,17,0,1,1,1.54,21,0,2,0,0,0,0,2.13,3
1080,18,1,1,4,7.86,1,0,3,1,1,0,0,4.0,0
1081,17,1,0,2,13.4,21,1,4,1,0,1,1,3.05,1
1082,18,0,0,2,9.4,13,1,1,0,1,1,1,2.96,2
1083,15,0,2,3,7.67,0,0,1,1,1,0,0,3.67,0
1084,18,0,0,2,2.38,14,1,2,0,0,0,0,2.75,2
1085,17,1,0,0,4.9,17,1,2,0,0,0,0,3.06,1
1086,17,0,1,3,2.0,8,0,3,0,0,0,1,2.58,2
1087,16,1,2,3,16.15,21,1,3,1,1,1,0,3.35,1
1088,15,0,0,2,2.7,7,1,2,0,0,0,1,3.58,0
1089,18,1,1,3,11.91,6,0,3,0,0,0,0,3.37,1
1090,16,0,0,1,6.85,8,0,2,1,0,0,0,2.56,2
1091,18,0,0,1,4.52,8,0,3,1,0,0,1,2.84,2
1092,18,1,0,1,12.79,10,1,3,0,1,0,1,2.93,2
1093,16,1,2,2,9.14,3,0,2,0,1,0,1,2.94,2
1094,16,1,0,3,8.0,6,1,3,1,1,1,0,3.95,0
1095,16,1,0,3,11.86,20,0,2,1,0,1,0,2.88,2
1096,16,1,1,2,9.83,6,0,2,1,1,0,0,3.38,1
1097,16,1,2,2,6.07,3,0,2,0,0,0,1,3.13,1
1098,18,0,0,3,11.18,11,0,2,0,0,0,1,3.57,0
1099,16,1,1,1,13.39,25,1,3,1,0,1,0,2.37,3
1100,15,0,0,1,0.53,26,1,2,1,1,1,0,2.61,2
1101,17,0,1,4,9.32,26,0,3,1,1,0,1,3.73,0
1102,16,1,1,3,1.15,16,0,4,1,1,0,1,2.46,3
1103,16,0,1,4,3.73,19,1,2,1,1,1,0,3.95,0
1104,18,1,0,2,11.21,30,1,0,0,1,0,0,2.13,3
1105,16,1,0,3,17.32,28,1,0,1,0,1,1,2.7,2
1106,16,0,0,1,17.66,25,0,1,0,0,1,0,3.08,1
1107,16,0,0,1,1.4,30,1,1,1,0,1,1,2.46,3
1108,18,1,0,2,8.38,2,1,3,1,0,0,1,2.19,3
1109,16,1,2,2,11.66,8,0,2,1,1,0,1,3.19,1
1110,17,0,3,1,2.94,4,0,3,0,1,0,0,2.87,2
1111,18,0,3,1,15.31,19,0,0,1,0,1,1,2.42,3
1112,17,0,3,0,14.88,15,1,2,0,0,0,1,2.82,2
1113,18,0,1,3,18.07,7,0,2,0,0,0,1,2.13,3
1114,16,1,2,2,0.17,30,0,2,1,0,0,1,2.03,3
1115,17,1,0,1,4.33,20,0,1,1,1,0,1,2.84,2
1116,18,1,1,1,16.54,15,0,3,1,0,1,0,3.07,1
1117,15,1,1,1,13.41,18,0,3,1,0,1,0,3.37,1
1118,16,0,1,3,17.89,15,1,1,0,0,1,0,4.0,0
1119,18,0,2,1,1.14,17,0,3,0,1,1,0,2.16,3
1120,15,1,0,3,11.94,14,0,2,0,0,0,1,2.45,3
1121,18,1,0,0,11.38,23,0,2,1,0,1,0,3.08,1
1122,15,1,3,1,0.71,27,0,3,1,1,0,1,2.34,3
1123,16,1,0,4,10.27,17,0,4,1,0,0,0,2.91,2
