StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,AttendanceRate,StudyCategory,ActivityScore,SupportScore,RiskScore,IsAtRisk,GPAGroup
1001,17,0,0,2,9.99,21,0,2,0,1,0,1,2.85,2,88.33,1,2,1.2,39.02,0,1
1002,18,0,1,2,14.93,1,0,4,1,0,1,0,3.63,0,99.44,1,2,2.4,21.55,0,3
1003,15,0,3,1,11.25,3,1,3,0,1,0,0,2.59,2,98.33,1,1,3.8,25.27,0,1
1004,17,0,0,3,1.67,12,0,3,0,1,1,1,2.66,2,93.33,0,3,1.8,42.92,0,1
1005,17,1,3,2,3.71,12,0,2,1,0,0,1,2.5,2,93.33,0,2,1.2,45.99,0,1
1006,18,0,0,4,4.39,22,1,3,0,1,1,1,2.33,3,87.78,0,3,3.8,33.19,0,1
1007,15,0,2,0,5.16,26,1,3,0,1,1,1,1.92,4,85.56,1,3,3.8,34.03,0,0
1008,15,0,2,3,11.31,21,0,4,1,0,0,0,3.54,0,88.33,1,1,2.4,32.69,0,3
1009,17,1,0,3,10.08,24,0,2,1,0,0,0,2.76,2,86.67,1,1,1.2,42.21,0,1
1010,16,0,1,3,4.06,26,0,2,1,1,1,0,2.07,3,85.56,0,3,1.2,46.85,0,1
1011,17,0,0,4,1.35,22,1,3,1,0,0,1,2.32,3,87.78,0,2,3.8,39.52,0,1
1012,17,1,2,3,3.43,16,1,3,1,0,0,1,2.88,2,91.11,0,2,3.8,34.35,0,1
1013,17,1,1,4,19.69,5,0,1,1,0,1,0,3.69,0,97.22,2,2,0.6,24.41,0,3
1014,17,0,1,2,9.37,10,1,2,1,1,1,1,2.63,2,94.44,1,4,3.2,24.11,0,1
1015,18,0,0,2,17.35,18,0,4,1,0,0,1,3.36,1,90.0,2,2,2.4,22.5,0,2
1016,15,0,0,0,16.98,15,0,2,0,1,0,1,3.6,0,91.67,2,2,1.2,27.24,0,3
1017,18,0,0,0,10.23,7,0,2,0,1,1,1,3.14,1,96.11,1,3,1.2,32.77,0,2
1018,18,0,0,1,14.13,28,0,2,1,0,1,0,2.23,3,84.44,1,2,1.2,36.75,0,1
1019,18,1,1,1,3.86,0,1,2,0,0,1,0,2.92,2,100.0,0,1,3.2,35.83,0,1
1020,17,1,3,1,13.77,9,0,3,0,1,0,1,2.87,2,95.0,1,2,1.8,29.18,0,1
1021,16,0,2,1,5.45,1,0,2,1,1,1,0,2.66,2,99.44,1,3,1.2,38.78,0,1
1022,15,0,1,0,16.64,18,0,2,1,1,0,0,2.81,2,90.0,2,2,1.2,30.22,0,1
1023,16,1,3,4,1.67,13,0,1,0,1,0,0,2.37,3,92.78,0,1,0.6,54.29,1,1
1024,18,0,2,0,15.46,2,0,4,1,0,0,1,2.73,2,98.89,2,2,2.4,23.33,0,1
1025,18,0,3,3,2.0,22,0,4,0,1,1,0,2.91,2,87.78,0,2,2.4,43.59,0,1
1026,16,0,1,1,17.62,28,0,3,1,0,1,0,3.27,1,84.44,2,2,1.8,27.06,0,2
1027,16,0,0,4,6.08,23,0,3,1,1,1,0,3.28,1,87.22,1,3,1.8,37.99,0,2
1028,16,0,0,4,13.09,30,1,2,0,1,1,0,2.37,3,83.33,1,2,3.2,29.0,0,1
1029,18,1,2,3,9.75,8,1,4,1,1,0,1,3.79,0,95.56,1,3,4.4,17.39,0,3
1030,18,0,0,3,7.33,22,0,3,1,1,0,1,3.56,0,87.78,1,3,1.8,35.53,0,3
1031,15,0,0,0,12.91,7,0,3,0,1,0,1,2.46,3,96.11,1,2,1.8,30.89,0,1
1032,15,0,1,4,18.95,10,1,2,0,0,0,0,2.86,2,94.44,2,0,3.2,21.56,0,1
1033,18,1,1,4,0.83,14,0,2,0,0,1,1,2.06,3,92.22,0,2,1.2,51.08,1,1
1034,16,1,1,4,18.38,5,0,3,1,0,0,1,2.8,2,97.22,2,2,1.8,22.82,0,1
1035,16,1,0,3,12.18,1,0,2,0,0,1,0,3.83,0,99.44,1,1,1.2,32.44,0,3
1036,15,1,0,2,16.15,0,1,2,0,0,0,0,2.85,2,100.0,2,0,3.2,23.14,0,1
1037,18,0,1,4,7.68,2,0,3,1,1,1,1,3.54,0,98.89,1,4,1.8,28.76,0,3
1038,15,1,3,1,9.44,24,0,2,0,1,0,1,1.81,4,86.67,1,2,1.2,42.89,0,0
1039,15,0,2,2,17.38,28,0,3,0,1,0,0,2.14,3,84.44,2,1,1.8,32.69,0,1
1040,17,0,3,1,8.3,22,1,1,1,1,0,0,2.27,3,87.78,1,2,2.6,36.41,0,1
1041,17,1,2,4,10.69,17,0,3,0,1,0,0,3.22,1,90.56,1,1,1.8,36.21,0,2
1042,17,1,1,1,0.4,13,0,1,1,0,0,1,2.37,3,92.78,0,2,0.6,53.37,1,1
1043,16,1,0,1,3.17,16,0,4,1,1,0,1,2.7,2,91.11,0,3,2.4,38.99,0,1
1044,18,1,2,2,12.83,1,0,2,1,0,0,0,2.69,2,99.44,1,1,1.2,34.48,0,1
1045,18,1,1,3,14.34,30,0,3,1,0,0,0,2.49,3,83.33,1,1,1.8,36.0,0,1
1046,18,0,1,3,11.65,18,0,2,1,0,1,1,2.29,3,90.0,1,3,1.2,35.26,0,1
1047,18,1,1,1,2.87,29,0,1,1,0,1,0,2.61,2,83.89,0,2,0.6,52.8,1,1
1048,17,1,1,0,8.91,21,1,3,0,0,0,0,2.92,2,88.33,1,0,3.8,33.37,0,1
1049,16,1,0,3,7.1,27,0,4,0,0,1,0,2.55,2,85.0,1,1,2.4,41.59,0,1
1050,16,0,1,4,9.91,8,1,1,1,1,1,1,2.97,2,95.56,1,4,2.6,24.92,0,1
1051,17,1,0,3,17.41,7,0,2,0,1,1,0,3.3,1,96.11,2,2,1.2,25.89,0,2
