StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1130,18,1,3,3,6.85,20,0,3,1,1,0,0,2.94,2
3400,18,0,0,1,19.61,7,0,3,0,1,0,0,3.65,0
1097,16,1,2,2,6.07,3,0,2,0,0,0,1,3.13,1
3894,15,0,1,4,12.51,29,0,2,1,0,0,0,2.19,3
3359,16,1,0,1,16.11,7,0,0,1,1,0,1,2.75,2
1221,17,1,0,3,17.32,29,0,2,1,0,0,1,2.39,3
2027,16,0,3,1,14.05,29,0,4,0,0,0,1,3.25,1
5469,15,0,1,2,8.02,8,1,0,0,0,0,0,2.4,3
3465,15,0,0,1,9.29,27,1,3,0,1,0,0,3.81,0
2020,15,0,0,4,19.37,17,1,1,0,0,0,1,3.04,1
4428,15,0,3,3,7.48,0,1,2,1,1,0,0,3.59,0
3719,17,1,1,3,4.86,1,0,1,1,0,0,1,3.07,1
2385,15,1,1,1,17.46,28,0,3,1,0,0,0,2.64,2
4287,16,0,1,4,0.94,0,0,2,0,0,1,0,2.47,3
4579,18,0,0,4,2.7,11,0,1,0,0,1,1,3.04,1
1904,17,0,0,3,4.43,25,0,3,1,0,0,1,2.49,3
4999,16,0,0,2,7.73,20,0,2,1,0,1,1,2.5,2
2050,15,1,3,1,15.29,25,0,4,1,1,0,1,3.15,1
5482,18,1,0,2,2.47,12,1,3,1,1,0,1,3.25,1
4369,15,0,1,3,6.68,13,0,2,1,1,0,1,3.22,1
4309,15,0,1,4,9.58,11,0,2,1,1,1,1,2.71,2
5312,17,0,0,2,10.91,14,0,2,0,1,0,1,3.14,1
4879,16,0,0,3,5.95,26,0,2,1,0,1,1,3.06,1
4647,16,0,1,3,4.93,10,0,2,0,0,0,0,2.55,2
5121,18,1,3,3,3.06,2,0,4,0,1,0,0,3.44,1
5701,16,0,2,4,13.7,2,0,2,1,0,0,0,3.44,1
3492,15,0,0,1,0.16,18,0,1,1,1,1,0,2.02,3
1147,17,0,1,3,14.2,29,0,2,0,1,0,0,2.62,2
1487,17,1,0,0,17.07,27,0,4,1,0,1,1,2.94,2
4746,17,1,1,2,18.0,14,1,2,1,0,0,1,3.25,1
